BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	100 Hz
Frames:       	583
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
     0	0.000	  0.100684	  0.899062	  0.210886	 -0.083556	  0.877134	  0.059985	 -0.057874	  0.803252	  0.034929	 -0.033129	  0.625764	 -0.054597	  0.030925	  0.441323	  0.059209	  0.041789	  0.388718	  0.051947	  0.051964	  0.255916	  0.013440	  0.051460	  0.075215	  0.066446	 -0.037181	  0.026261	  0.039922	 -0.085445	  0.885230	  0.373320	 -0.055765	  0.820012	  0.401745	 -0.057665	  0.625833	  0.488495	 -0.013231	  0.441985	  0.373809	  0.003880	  0.381075	  0.380638	  0.025251	  0.250750	  0.413654	  0.045039	  0.078190	  0.352232	 -0.058375	  0.026364	  0.379450	  0.111704	  0.028580	  0.122775	  0.101505	  0.018500	  0.284412	 -0.008780	  1.332048	  0.049051	  0.090564	  1.349989	  0.219877	  0.013921	  1.323759	  0.402511	
     1	0.010	  0.100713	  0.899051	  0.210889	 -0.083513	  0.877142	  0.059986	 -0.057865	  0.803256	  0.034919	 -0.033132	  0.625757	 -0.054600	  0.031018	  0.441321	  0.059197	  0.041837	  0.388736	  0.051933	  0.052047	  0.255935	  0.013446	  0.051453	  0.075202	  0.066429	 -0.037120	  0.026234	  0.039922	 -0.085399	  0.885241	  0.373293	 -0.055694	  0.820026	  0.401738	 -0.057599	  0.625858	  0.488500	 -0.013209	  0.441999	  0.373803	  0.003859	  0.381079	  0.380652	  0.025248	  0.250737	  0.413639	  0.045040	  0.078207	  0.352227	 -0.058368	  0.026356	  0.379469	  0.111705	  0.028587	  0.122767	  0.101489	  0.018477	  0.284422	 -0.008704	  1.332029	  0.049036	  0.090595	  1.350003	  0.219854	  0.013984	  1.323761	  0.402479	
     2	0.020	  0.100763	  0.899032	  0.210847	 -0.083505	  0.877141	  0.059978	 -0.057810	  0.803257	  0.034899	 -0.033132	  0.625744	 -0.054615	  0.031067	  0.441321	  0.059165	  0.041856	  0.388739	  0.051927	  0.052090	  0.255947	  0.013434	  0.051491	  0.075181	  0.066436	 -0.037106	  0.026218	  0.039906	 -0.085373	  0.885244	  0.373289	 -0.054678	  0.819752	  0.401633	 -0.057556	  0.625869	  0.488482	 -0.013219	  0.442004	  0.373799	  0.003876	  0.381087	  0.380652	  0.025245	  0.250744	  0.413626	  0.045046	  0.078209	  0.352231	 -0.058385	  0.026357	  0.379457	  0.111717	  0.028577	  0.122765	  0.101516	  0.018482	  0.284434	 -0.008629	  1.332008	  0.049011	  0.090615	  1.349999	  0.219821	  0.014028	  1.323760	  0.402467	
     3	0.030	  0.100797	  0.899001	  0.210801	 -0.083476	  0.877143	  0.059970	 -0.057771	  0.803260	  0.034865	 -0.033125	  0.625741	 -0.054625	  0.031096	  0.441336	  0.059136	  0.041888	  0.388748	  0.051927	  0.052126	  0.255937	  0.013413	  0.051487	  0.075169	  0.066445	 -0.037103	  0.026211	  0.039891	 -0.085350	  0.885259	  0.373282	 -0.052410	  0.819113	  0.401413	 -0.057544	  0.625864	  0.488463	 -0.013233	  0.441996	  0.373785	  0.003880	  0.381096	  0.380641	  0.025264	  0.250757	  0.413621	  0.045038	  0.078209	  0.352216	 -0.058393	  0.026341	  0.379453	  0.111725	  0.028563	  0.122758	  0.101520	  0.018480	  0.284423	 -0.008568	  1.331993	  0.048972	  0.090658	  1.350001	  0.219804	  0.014087	  1.323768	  0.402455	
     4	0.040	  0.100828	  0.898984	  0.210764	 -0.083438	  0.877145	  0.059952	 -0.057743	  0.803257	  0.034847	 -0.033086	  0.625732	 -0.054631	  0.031129	  0.441352	  0.059129	  0.041914	  0.388765	  0.051925	  0.052160	  0.255918	  0.013400	  0.051468	  0.075167	  0.066451	 -0.037091	  0.026212	  0.039899	 -0.085285	  0.885248	  0.373257	 -0.051810	  0.818961	  0.401345	 -0.057555	  0.625860	  0.488440	 -0.013210	  0.441999	  0.373772	  0.003873	  0.381091	  0.380638	  0.025273	  0.250748	  0.413624	  0.045044	  0.078195	  0.352212	 -0.058385	  0.026335	  0.379468	  0.111736	  0.028569	  0.122745	  0.101491	  0.018457	  0.284411	 -0.008529	  1.331988	  0.048946	  0.090712	  1.350013	  0.219788	  0.014120	  1.323766	  0.402420	
     5	0.050	  0.100866	  0.898961	  0.210726	 -0.083388	  0.877137	  0.059934	 -0.057725	  0.803245	  0.034821	 -0.033061	  0.625715	 -0.054639	  0.031182	  0.441348	  0.059109	  0.041952	  0.388767	  0.051925	  0.052196	  0.255938	  0.013387	  0.051508	  0.075170	  0.066448	 -0.037093	  0.026226	  0.039902	 -0.085240	  0.885247	  0.373237	 -0.051658	  0.818913	  0.401326	 -0.057557	  0.625852	  0.488403	 -0.013208	  0.442002	  0.373752	  0.003876	  0.381096	  0.380631	  0.025260	  0.250763	  0.413617	  0.045050	  0.078203	  0.352220	 -0.058380	  0.026347	  0.379466	  0.111737	  0.028572	  0.122734	  0.101475	  0.018453	  0.284409	 -0.008485	  1.331963	  0.048926	  0.090750	  1.350017	  0.219773	  0.014152	  1.323769	  0.402402	
     6	0.060	  0.100910	  0.898957	  0.210694	 -0.083382	  0.877135	  0.059903	 -0.057708	  0.803235	  0.034794	 -0.033040	  0.625705	 -0.054643	  0.031237	  0.441347	  0.059089	  0.041973	  0.388769	  0.051918	  0.052239	  0.255959	  0.013381	  0.051514	  0.075174	  0.066430	 -0.037113	  0.026237	  0.039882	 -0.085249	  0.885279	  0.373213	 -0.051585	  0.818913	  0.401310	 -0.057566	  0.625852	  0.488367	 -0.013213	  0.442002	  0.373745	  0.003881	  0.381092	  0.380611	  0.025251	  0.250773	  0.413600	  0.045051	  0.078221	  0.352214	 -0.058395	  0.026356	  0.379467	  0.111715	  0.028554	  0.122728	  0.101495	  0.018463	  0.284418	 -0.008465	  1.331955	  0.048899	  0.090766	  1.350022	  0.219769	  0.014177	  1.323772	  0.402385	
     7	0.070	  0.100948	  0.898957	  0.210661	 -0.083386	  0.877140	  0.059890	 -0.057663	  0.803232	  0.034761	 -0.033029	  0.625693	 -0.054665	  0.031285	  0.441360	  0.059071	  0.041994	  0.388770	  0.051903	  0.052275	  0.255956	  0.013365	  0.051484	  0.075161	  0.066420	 -0.037119	  0.026245	  0.039888	 -0.085238	  0.885293	  0.373205	 -0.051552	  0.818933	  0.401282	 -0.057551	  0.625863	  0.488343	 -0.013184	  0.442004	  0.373737	  0.003892	  0.381109	  0.380600	  0.025266	  0.250777	  0.413593	  0.045043	  0.078216	  0.352205	 -0.058409	  0.026362	  0.379462	  0.111727	  0.028555	  0.122723	  0.101510	  0.018461	  0.284421	 -0.008459	  1.331958	  0.048879	  0.090801	  1.350028	  0.219755	  0.014196	  1.323784	  0.402353	
     8	0.080	  0.100949	  0.898929	  0.210586	 -0.083345	  0.877140	  0.059845	 -0.057644	  0.803234	  0.034738	 -0.033001	  0.625686	 -0.054704	  0.031313	  0.441350	  0.059042	  0.042007	  0.388789	  0.051886	  0.052299	  0.255952	  0.013334	  0.051510	  0.075161	  0.066409	 -0.037113	  0.026251	  0.039885	 -0.085214	  0.885313	  0.373164	 -0.051508	  0.818914	  0.401263	 -0.057516	  0.625884	  0.488321	 -0.013172	  0.442018	  0.373725	  0.003913	  0.381134	  0.380590	  0.025281	  0.250775	  0.413601	  0.045042	  0.078219	  0.352200	 -0.058403	  0.026360	  0.379439	  0.111704	  0.028535	  0.122714	  0.101520	  0.018462	  0.284431	 -0.008420	  1.331952	  0.048861	  0.090838	  1.350049	  0.219732	  0.014230	  1.323780	  0.402329	
     9	0.090	  0.100949	  0.898920	  0.210537	 -0.083312	  0.877134	  0.059816	 -0.057637	  0.803240	  0.034703	 -0.032979	  0.625673	 -0.054736	  0.031373	  0.441350	  0.059027	  0.042034	  0.388794	  0.051880	  0.052331	  0.255943	  0.013307	  0.051505	  0.075161	  0.066380	 -0.037109	  0.026241	  0.039883	 -0.085178	  0.885307	  0.373143	 -0.051465	  0.818917	  0.401241	 -0.057452	  0.625898	  0.488318	 -0.013156	  0.442038	  0.373736	  0.003939	  0.381128	  0.380584	  0.025280	  0.250768	  0.413588	  0.045044	  0.078224	  0.352194	 -0.058403	  0.026362	  0.379446	  0.111704	  0.028537	  0.122715	  0.101529	  0.018471	  0.284426	 -0.008380	  1.331951	  0.048822	  0.090848	  1.350058	  0.219689	  0.014261	  1.323790	  0.402297	
