BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	555
Start time:   	0.000

 Frame	 Time	      c7.X	      c7.Y	      c7.Z	r should.X	r should.Y	r should.Z	l should.X	l should.Y	l should.Z	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	  l asis.X	  l asis.Y	  l asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	  l heel.X	  l heel.Y	  l heel.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	   r met.X	   r met.Y	   r met.Z	    [P0].X	    [P0].Y	    [P0].Z	    [P1].X	    [P1].Y	    [P1].Z	
     0	0.000	  0.361179	  1.470592	  0.180446	  0.304287	  1.432767	  0.037192	  0.298724	  1.451436	  0.325902	  0.447952	  0.961426	  0.194955	  0.209424	  0.946327	  0.041246	  0.225928	  0.942058	  0.371562	  0.314956	  0.824766	  0.005972	  0.336580	  0.860936	  0.408340	  0.315487	  0.583967	 -0.060028	  0.297090	  0.479491	  0.042251	  0.288294	  0.550108	  0.465630	  0.317519	  0.482232	  0.363695	  0.322518	  0.430653	  0.368967	  0.310257	  0.438193	  0.039332	  0.321013	  0.291318	 -0.002698	  0.360586	  0.071945	  0.056868	  0.330064	  0.267369	  0.400058	  0.350716	  0.074526	  0.334509	  0.393373	  0.025013	  0.275682	  0.242517	  0.022084	  0.363146	  0.410367	  0.027569	  0.118514	  0.250186	  0.028802	  0.036836	  0.334707	  0.006504	  0.208433	 -0.242429	  0.009478	  0.183804	
     1	0.010	  0.361213	  1.470626	  0.180472	  0.304413	  1.432749	  0.037216	  0.298722	  1.451477	  0.325930	  0.448118	  0.961448	  0.195081	  0.209349	  0.946351	  0.041374	  0.226120	  0.942101	  0.371665	  0.314997	  0.824774	  0.006031	  0.336738	  0.860940	  0.408410	  0.315609	  0.583983	 -0.059978	  0.297240	  0.479484	  0.042294	  0.288418	  0.550108	  0.465732	  0.317618	  0.482188	  0.363758	  0.322603	  0.430664	  0.369023	  0.310496	  0.438228	  0.039384	  0.321184	  0.291356	 -0.002707	  0.360586	  0.071967	  0.056859	  0.330122	  0.267331	  0.400111	  0.350714	  0.074493	  0.334520	  0.393371	  0.025018	  0.275671	  0.242581	  0.022086	  0.363145	  0.410436	  0.027577	  0.118536	  0.250167	  0.028803	  0.036848	  0.334737	  0.006504	  0.208408	 -0.242299	  0.009479	  0.183701	
     2	0.020	  0.361241	  1.470650	  0.180510	  0.304539	  1.432733	  0.037261	  0.298742	  1.451524	  0.325967	  0.448293	  0.961482	  0.195219	  0.209428	  0.946359	  0.041543	  0.226237	  0.942120	  0.371753	  0.315044	  0.824767	  0.006094	  0.336895	  0.860935	  0.408501	  0.315719	  0.584004	 -0.059914	  0.297367	  0.479481	  0.042331	  0.288516	  0.550111	  0.465802	  0.317712	  0.482184	  0.363808	  0.322695	  0.430672	  0.369075	  0.310725	  0.438263	  0.039427	  0.321363	  0.291388	 -0.002677	  0.360607	  0.071972	  0.056861	  0.330149	  0.267300	  0.400145	  0.350696	  0.074472	  0.334550	  0.393384	  0.025022	  0.275668	  0.242583	  0.022077	  0.363146	  0.410428	  0.027575	  0.118537	  0.250134	  0.028816	  0.036849	  0.334657	  0.006505	  0.208318	 -0.242443	  0.009478	  0.183805	
     3	0.030	  0.361324	  1.470660	  0.180545	  0.304668	  1.432719	  0.037310	  0.298821	  1.451563	  0.326003	  0.448448	  0.961508	  0.195345	  0.209454	  0.946379	  0.041766	  0.226372	  0.942138	  0.371840	  0.315103	  0.824761	  0.006172	  0.337054	  0.860931	  0.408598	  0.315826	  0.584008	 -0.059813	  0.297480	  0.479500	  0.042369	  0.288583	  0.550090	  0.465872	  0.317730	  0.482199	  0.363874	  0.322779	  0.430672	  0.369129	  0.310900	  0.438292	  0.039500	  0.321508	  0.291403	 -0.002613	  0.360610	  0.071974	  0.056853	  0.330168	  0.267285	  0.400176	  0.350698	  0.074464	  0.334564	  0.393420	  0.025036	  0.275675	  0.242572	  0.022070	  0.363164	  0.410442	  0.027572	  0.118552	  0.250126	  0.028806	  0.036863	  0.335611	  0.006499	  0.208461	 -0.242443	  0.009479	  0.183787	
     4	0.040	  0.361447	  1.470665	  0.180590	  0.304778	  1.432698	  0.037370	  0.298913	  1.451595	  0.326037	  0.448562	  0.961548	  0.195465	  0.209356	  0.946455	  0.042009	  0.226475	  0.942143	  0.371927	  0.315104	  0.824725	  0.006250	  0.337179	  0.860942	  0.408693	  0.315948	  0.584008	 -0.059688	  0.297560	  0.479515	  0.042422	  0.288624	  0.550078	  0.465954	  0.317793	  0.482198	  0.363938	  0.322856	  0.430674	  0.369185	  0.311057	  0.438294	  0.039574	  0.321572	  0.291401	 -0.002546	  0.360592	  0.071980	  0.056842	  0.330196	  0.267271	  0.400201	  0.350709	  0.074459	  0.334564	  0.393481	  0.025051	  0.275680	  0.242582	  0.022079	  0.363172	  0.410456	  0.027571	  0.118547	  0.250161	  0.028795	  0.036868	  0.334711	  0.006508	  0.208098	 -0.242519	  0.009478	  0.183844	
     5	0.050	  0.361509	  1.470660	  0.180631	  0.304895	  1.432679	  0.037441	  0.298975	  1.451626	  0.326094	  0.448663	  0.961582	  0.195574	  0.209156	  0.946543	  0.042278	  0.226552	  0.942150	  0.372004	  0.315186	  0.824702	  0.006368	  0.337360	  0.860959	  0.408801	  0.316084	  0.584030	 -0.059560	  0.297643	  0.479522	  0.042478	  0.288713	  0.550071	  0.466022	  0.317888	  0.482181	  0.363992	  0.322918	  0.430675	  0.369238	  0.311158	  0.438310	  0.039627	  0.321560	  0.291410	 -0.002473	  0.360579	  0.071974	  0.056849	  0.330238	  0.267248	  0.400239	  0.350727	  0.074463	  0.334564	  0.393479	  0.025056	  0.275669	  0.242598	  0.022081	  0.363170	  0.410456	  0.027572	  0.118540	  0.250139	  0.028792	  0.036859	  0.335804	  0.006495	  0.208752	 -0.242387	  0.009477	  0.183872	
     6	0.060	  0.361591	  1.470663	  0.180710	  0.304994	  1.432668	  0.037521	  0.299009	  1.451647	  0.326155	  0.448775	  0.961582	  0.195705	  0.208994	  0.946636	  0.042513	  0.226636	  0.942157	  0.372069	  0.315292	  0.824684	  0.006499	  0.337515	  0.860959	  0.408905	  0.316241	  0.584077	 -0.059449	  0.297672	  0.479519	  0.042526	  0.288809	  0.550055	  0.466102	  0.317942	  0.482155	  0.364071	  0.322998	  0.430665	  0.369292	  0.311187	  0.438331	  0.039685	  0.321530	  0.291391	 -0.002390	  0.360569	  0.071982	  0.056842	  0.330300	  0.267215	  0.400270	  0.350743	  0.074465	  0.334571	  0.393479	  0.025047	  0.275663	  0.242611	  0.022078	  0.363157	  0.410449	  0.027566	  0.118539	  0.250135	  0.028810	  0.036877	  0.336163	  0.006493	  0.208739	 -0.242299	  0.009479	  0.183701	
     7	0.070	  0.361662	  1.470661	  0.180795	  0.305103	  1.432654	  0.037609	  0.299047	  1.451639	  0.326228	  0.448902	  0.961609	  0.195827	  0.208829	  0.946754	  0.042709	  0.226795	  0.942163	  0.372161	  0.315366	  0.824665	  0.006625	  0.337668	  0.860974	  0.409014	  0.316390	  0.584111	 -0.059332	  0.297675	  0.479515	  0.042592	  0.288882	  0.550024	  0.466183	  0.317968	  0.482133	  0.364162	  0.323097	  0.430667	  0.369368	  0.311211	  0.438336	  0.039761	  0.321493	  0.291391	 -0.002341	  0.360566	  0.071992	  0.056828	  0.330388	  0.267192	  0.400286	  0.350766	  0.074475	  0.334573	  0.393503	  0.025038	  0.275666	  0.242588	  0.022074	  0.363166	  0.410436	  0.027549	  0.118521	  0.250139	  0.028817	  0.036895	  0.336343	  0.006487	  0.209212	 -0.242318	  0.009479	  0.183738	
     8	0.080	  0.361679	  1.470644	  0.180900	  0.305226	  1.432632	  0.037716	  0.299070	  1.451628	  0.326297	  0.448980	  0.961626	  0.195952	  0.208524	  0.946899	  0.042867	  0.226867	  0.942171	  0.372241	  0.315447	  0.824652	  0.006719	  0.337772	  0.860987	  0.409129	  0.316460	  0.584134	 -0.059248	  0.297672	  0.479517	  0.042663	  0.288957	  0.550001	  0.466259	  0.318011	  0.482118	  0.364254	  0.323171	  0.430666	  0.369439	  0.311229	  0.438333	  0.039826	  0.321426	  0.291391	 -0.002275	  0.360541	  0.071999	  0.056826	  0.330466	  0.267161	  0.400330	  0.350769	  0.074456	  0.334592	  0.393483	  0.025012	  0.275661	  0.242596	  0.022058	  0.363184	  0.410456	  0.027570	  0.118530	  0.250166	  0.028803	  0.036909	  0.336472	  0.006485	  0.209311	 -0.242462	  0.009478	  0.183805	
     9	0.090	  0.361660	  1.470621	  0.181022	  0.305329	  1.432624	  0.037812	  0.299099	  1.451645	  0.326392	  0.448997	  0.961609	  0.196076	  0.208181	  0.947045	  0.043017	  0.226942	  0.942169	  0.372339	  0.315451	  0.824613	  0.006831	  0.337853	  0.861005	  0.409265	  0.316455	  0.584189	 -0.059189	  0.297651	  0.479512	  0.042726	  0.289038	  0.549979	  0.466354	  0.318060	  0.482097	  0.364355	  0.323232	  0.430647	  0.369507	  0.311197	  0.438330	  0.039893	  0.321410	  0.291395	 -0.002207	  0.360541	  0.072003	  0.056836	  0.330537	  0.267112	  0.400380	  0.350757	  0.074426	  0.334606	  0.393476	  0.024992	  0.275679	  0.242599	  0.022031	  0.363206	  0.410455	  0.027575	  0.118532	  0.250132	  0.028789	  0.036904	  0.336645	  0.006480	  0.209621	 -0.242443	  0.009478	  0.183805	
