BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	463
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    [P0].X	    [P0].Y	    [P0].Z	    [P1].X	    [P1].Y	    [P1].Z	
     0	0.000	  0.435046	  0.937019	  0.200372	  0.244459	  0.910877	  0.079072	  0.329687	  0.869748	  0.022130	  0.345218	  0.611300	 -0.075043	  0.344943	  0.467503	  0.034167	  0.353060	  0.397189	  0.028950	  0.362088	  0.300815	 -0.006428	  0.400515	  0.070165	  0.068621	  0.286177	  0.028854	  0.057298	  0.258492	  0.913328	  0.345879	  0.340228	  0.880999	  0.393764	  0.302960	  0.630113	  0.496315	  0.340773	  0.463083	  0.385503	  0.353371	  0.401674	  0.389525	  0.359066	  0.289570	  0.427364	  0.389474	  0.073381	  0.355671	  0.276333	  0.026570	  0.353185	  0.447203	  0.027506	  0.117057	  0.447918	  0.026733	  0.308421	  0.346004	  1.424450	  0.083170	  0.449253	  1.432752	  0.221911	  0.362187	  1.408030	  0.374523	  5.509573	 -0.052308	  2.231035	 -0.344158	  0.011119	  0.166240	
     1	0.010	  0.435065	  0.937037	  0.200389	  0.244474	  0.910868	  0.079062	  0.329668	  0.869749	  0.022128	  0.345216	  0.611326	 -0.075046	  0.344906	  0.467519	  0.034164	  0.353098	  0.397186	  0.028965	  0.362082	  0.300824	 -0.006447	  0.400523	  0.070164	  0.068615	  0.286179	  0.028834	  0.057265	  0.258558	  0.913443	  0.345972	  0.337952	  0.880387	  0.394453	  0.302931	  0.630106	  0.496298	  0.340728	  0.463055	  0.385501	  0.353359	  0.401689	  0.389528	  0.359030	  0.289566	  0.427369	  0.389451	  0.073389	  0.355670	  0.276302	  0.026583	  0.353173	  0.447136	  0.027455	  0.117032	  0.447903	  0.026743	  0.308433	  0.345984	  1.424450	  0.083168	  0.449179	  1.432758	  0.221924	  0.362141	  1.408035	  0.374541	 -7.540404	  0.089861	 -2.435167	 -0.415527	  0.011036	  0.211264	
     2	0.020	  0.435053	  0.937051	  0.200401	  0.244402	  0.910876	  0.079060	  0.329670	  0.869742	  0.022128	  0.345213	  0.611338	 -0.075042	  0.344884	  0.467508	  0.034169	  0.353111	  0.397181	  0.028964	  0.362093	  0.300836	 -0.006454	  0.400521	  0.070171	  0.068613	  0.286211	  0.028860	  0.057253	  0.258665	  0.913608	  0.346081	  0.335050	  0.879609	  0.395340	  0.302859	  0.630115	  0.496294	  0.340721	  0.463057	  0.385492	  0.353343	  0.401683	  0.389520	  0.359010	  0.289571	  0.427363	  0.389448	  0.073397	  0.355680	  0.276307	  0.026562	  0.353182	  0.447119	  0.027437	  0.117036	  0.447907	  0.026758	  0.308429	  0.345980	  1.424449	  0.083178	  0.449144	  1.432752	  0.221935	  0.362084	  1.408037	  0.374549	  5.594438	 -0.052392	  2.192453	 -0.632901	  0.013079	  0.160183	
     3	0.030	  0.435018	  0.937057	  0.200406	  0.244357	  0.910887	  0.079069	  0.329639	  0.869745	  0.022128	  0.345222	  0.611353	 -0.075026	  0.344892	  0.467501	  0.034174	  0.353116	  0.397180	  0.028958	  0.362119	  0.300833	 -0.006456	  0.400521	  0.070165	  0.068621	  0.286210	  0.028880	  0.057261	  0.258602	  0.913519	  0.346024	  0.336620	  0.880036	  0.394861	  0.302838	  0.630115	  0.496302	  0.340706	  0.463062	  0.385479	  0.353349	  0.401698	  0.389534	  0.359020	  0.289569	  0.427350	  0.389449	  0.073407	  0.355677	  0.276345	  0.026567	  0.353188	  0.447139	  0.027453	  0.117041	  0.447886	  0.026727	  0.308418	  0.345962	  1.424461	  0.083175	  0.449082	  1.432746	  0.221937	  0.362066	  1.408046	  0.374554	 35.516418	 -0.376419	 12.731544	 -0.333162	  0.011908	  0.095620	
     4	0.040	  0.434956	  0.937051	  0.200393	  0.244321	  0.910893	  0.079083	  0.329632	  0.869750	  0.022128	  0.345225	  0.611359	 -0.075018	  0.344882	  0.467509	  0.034191	  0.353116	  0.397182	  0.028969	  0.362116	  0.300829	 -0.006442	  0.400522	  0.070163	  0.068632	  0.286199	  0.028866	  0.057270	  0.258764	  0.913731	  0.346174	  0.332358	  0.878871	  0.396179	  0.302861	  0.630111	  0.496313	  0.340710	  0.463054	  0.385485	  0.353339	  0.401698	  0.389543	  0.359035	  0.289567	  0.427360	  0.389428	  0.073390	  0.355664	  0.276328	  0.026586	  0.353183	  0.447141	  0.027464	  0.117030	  0.447910	  0.026732	  0.308417	  0.345940	  1.424455	  0.083167	  0.449059	  1.432745	  0.221942	  0.362027	  1.408051	  0.374546	 -3.232319	  0.043301	 -0.925332	 -0.088207	  0.009284	  0.179569	
     5	0.050	  0.434929	  0.937049	  0.200392	  0.244275	  0.910902	  0.079084	  0.329618	  0.869748	  0.022124	  0.345186	  0.611349	 -0.075017	  0.344864	  0.467519	  0.034188	  0.353107	  0.397184	  0.028982	  0.362103	  0.300823	 -0.006428	  0.400507	  0.070165	  0.068630	  0.286182	  0.028851	  0.057264	  0.258780	  0.913772	  0.346222	  0.331268	  0.878592	  0.396508	  0.302845	  0.630124	  0.496329	  0.340700	  0.463048	  0.385477	  0.353327	  0.401699	  0.389543	  0.359015	  0.289564	  0.427368	  0.389441	  0.073399	  0.355656	  0.276307	  0.026585	  0.353181	  0.447143	  0.027481	  0.117030	  0.447943	  0.026750	  0.308418	  0.345926	  1.424423	  0.083176	  0.449058	  1.432750	  0.221942	  0.361972	  1.408058	  0.374547	  3.238685	 -0.024977	  1.206565	 -0.090069	  0.008683	  0.229827	
     6	0.060	  0.434928	  0.937051	  0.200388	  0.244307	  0.910871	  0.079082	  0.329595	  0.869744	  0.022119	  0.345172	  0.611350	 -0.075015	  0.344837	  0.467513	  0.034178	  0.353059	  0.397182	  0.028981	  0.362090	  0.300828	 -0.006449	  0.400527	  0.070168	  0.068619	  0.286197	  0.028841	  0.057259	  0.258750	  0.913789	  0.346240	  0.330981	  0.878511	  0.396586	  0.302812	  0.630129	  0.496340	  0.340684	  0.463061	  0.385474	  0.353313	  0.401677	  0.389539	  0.359028	  0.289554	  0.427355	  0.389459	  0.073415	  0.355647	  0.276317	  0.026573	  0.353190	  0.447135	  0.027466	  0.117040	  0.447936	  0.026737	  0.308418	  0.345891	  1.424405	  0.083179	  0.449033	  1.432738	  0.221949	  0.361928	  1.408072	  0.374564	  3.295038	 -0.027510	  1.384079	 -0.235820	  0.009767	  0.219052	
     7	0.070	  0.434882	  0.937057	  0.200392	  0.244280	  0.910869	  0.079086	  0.329550	  0.869749	  0.022126	  0.345121	  0.611348	 -0.075019	  0.344799	  0.467499	  0.034174	  0.353047	  0.397173	  0.028968	  0.362059	  0.300823	 -0.006445	  0.400545	  0.070166	  0.068612	  0.286229	  0.028872	  0.057268	  0.258707	  0.913793	  0.346232	  0.330913	  0.878496	  0.396600	  0.302837	  0.630119	  0.496327	  0.340681	  0.463064	  0.385481	  0.353309	  0.401672	  0.389547	  0.359042	  0.289558	  0.427364	  0.389462	  0.073413	  0.355658	  0.276339	  0.026579	  0.353181	  0.447155	  0.027466	  0.117040	  0.447952	  0.026768	  0.308429	  0.345857	  1.424397	  0.083181	  0.448994	  1.432732	  0.221970	  0.361914	  1.408073	  0.374577	  5.205980	 -0.050073	  2.210439	 -0.090069	  0.008683	  0.229827	
     8	0.080	  0.434846	  0.937073	  0.200380	  0.244116	  0.910906	  0.079102	  0.329525	  0.869761	  0.022124	  0.345078	  0.611342	 -0.075021	  0.344781	  0.467497	  0.034177	  0.353042	  0.397175	  0.028962	  0.362058	  0.300818	 -0.006435	  0.400540	  0.070162	  0.068612	  0.286258	  0.028894	  0.057273	  0.258702	  0.913781	  0.346234	  0.330895	  0.878494	  0.396611	  0.302850	  0.630127	  0.496321	  0.340689	  0.463053	  0.385487	  0.353310	  0.401685	  0.389552	  0.359051	  0.289571	  0.427362	  0.389459	  0.073413	  0.355649	  0.276325	  0.026591	  0.353177	  0.447177	  0.027469	  0.117048	  0.447941	  0.026775	  0.308441	  0.345901	  1.424403	  0.083198	  0.448924	  1.432719	  0.221999	  0.361853	  1.408063	  0.374598	 -2.807524	  0.042649	 -1.099436	 -8.967491	  0.091537	 -1.807926	
     9	0.090	  0.434827	  0.937074	  0.200364	  0.244102	  0.910896	  0.079114	  0.329494	  0.869772	  0.022115	  0.345052	  0.611346	 -0.075030	  0.344769	  0.467505	  0.034176	  0.353041	  0.397183	  0.028957	  0.362040	  0.300818	 -0.006430	  0.400548	  0.070165	  0.068614	  0.286245	  0.028891	  0.057290	  0.258675	  0.913790	  0.346253	  0.330884	  0.878497	  0.396611	  0.302865	  0.630132	  0.496314	  0.340699	  0.463062	  0.385494	  0.353300	  0.401683	  0.389539	  0.359037	  0.289577	  0.427356	  0.389482	  0.073419	  0.355650	  0.276358	  0.026606	  0.353196	  0.447209	  0.027508	  0.117048	  0.447961	  0.026789	  0.308453	  0.345907	  1.424393	  0.083203	  0.448874	  1.432713	  0.222040	  0.361774	  1.408061	  0.374626	 -3.126687	  0.044382	 -1.070534	  1.172971	 -0.069746	  5.984403	
