BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	637
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
     0	0.000	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.004911	  0.581153	  0.415217	 -2.025056	  0.395844	  0.308273	 -2.036186	  0.336218	  0.313834	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.008595	  0.761518	  0.310738	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.990815	  0.385780	  0.018571	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.091760	  0.022048	  0.027439	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     1	0.010	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005294	  0.580906	  0.415076	 -2.025379	  0.395773	  0.308188	 -2.036151	  0.336018	  0.313592	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.008324	  0.761258	  0.310693	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.990901	  0.385688	  0.018660	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.091785	  0.021969	  0.027523	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     2	0.020	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005628	  0.580738	  0.415037	 -2.025507	  0.395685	  0.308097	 -2.036050	  0.335866	  0.313391	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.008094	  0.761050	  0.310757	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.991013	  0.385680	  0.018737	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.091840	  0.021944	  0.027526	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     3	0.030	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005890	  0.580645	  0.415041	 -2.025377	  0.395569	  0.308002	 -2.035951	  0.335737	  0.313228	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007806	  0.760880	  0.310816	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.991273	  0.385639	  0.018767	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.091928	  0.021939	  0.027513	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     4	0.040	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005939	  0.580604	  0.415032	 -2.025012	  0.395382	  0.307872	 -2.035796	  0.335641	  0.313123	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007469	  0.760737	  0.310838	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.991357	  0.385744	  0.018792	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092004	  0.021954	  0.027522	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     5	0.050	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005713	  0.580596	  0.415013	 -2.024578	  0.395226	  0.307810	 -2.035657	  0.335641	  0.313153	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007258	  0.760672	  0.310913	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.991444	  0.385879	  0.018811	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.091993	  0.021970	  0.027543	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     6	0.060	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005512	  0.580607	  0.415087	 -2.024144	  0.395112	  0.307809	 -2.035527	  0.335656	  0.313195	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007087	  0.760636	  0.310933	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.991648	  0.386048	  0.018836	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092022	  0.021959	  0.027581	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     7	0.070	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005234	  0.580560	  0.415150	 -2.023886	  0.395056	  0.307814	 -2.035443	  0.335696	  0.313300	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.006979	  0.760656	  0.310952	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.992021	  0.386213	  0.018827	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092089	  0.021968	  0.027578	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     8	0.080	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.004873	  0.580508	  0.415244	 -2.023830	  0.395124	  0.307895	 -2.035341	  0.335714	  0.313441	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.006931	  0.760702	  0.310996	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.992348	  0.386437	  0.018853	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092236	  0.021925	  0.027509	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     9	0.090	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.004486	  0.580490	  0.415322	 -2.023925	  0.395304	  0.308043	 -2.035197	  0.335719	  0.313542	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.006947	  0.760750	  0.311062	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.992759	  0.386591	  0.018904	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092357	  0.021902	  0.027477	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    10	0.100	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.004124	  0.580481	  0.415404	 -2.023988	  0.395447	  0.308140	 -2.035094	  0.335755	  0.313660	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007047	  0.760782	  0.311169	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.993335	  0.386689	  0.019026	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092381	  0.021849	  0.027467	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
